#REFERENCE 3 8.8589068 -20.2622895
5772 166.0335668 -108.4168712 0.104759 0.098610 42.29077 0.5000 24.96 
5769 165.5914126 -123.5799714 0.104317 0.098520 38.89134 0.5000 24.97 
5649 159.3007988 89.1451422 0.109320 0.100159 101.90071 0.5000 24.90 
5262 131.0915394 159.4830009 0.108283 0.098558 140.50685 0.5000 24.93 
5211 130.0238553 -114.5411622 0.105001 0.098473 34.17171 0.5000 24.96 
4801 103.0350486 -164.9316580 0.103810 0.098213 20.36707 0.5000 24.98 
4462 77.6411900 161.5553264 0.109691 0.098770 167.44784 0.5000 24.91 
4106 59.8097698 -40.5362397 0.113045 0.101572 42.54779 0.5000 24.85 
3846 41.0563223 -141.1965512 0.104866 0.097982 7.75505 0.5000 24.97 
3842 40.8941042 -160.8151212 0.104235 0.098008 6.61743 0.5000 24.98 
3631 28.5086950 -14.0355388 0.135910 0.109654 64.82000 0.5000 24.57 
3563 18.2514718 60.6678086 0.115969 0.101481 148.16018 0.5000 24.82 
3467 15.5690926 -37.3568724 0.115930 0.103040 14.75833 0.5000 24.81 
3455 14.8967997 -97.2200293 0.107140 0.098206 1.65734 0.5000 24.94 
2935 -25.8109228 77.3417246 0.106865 0.104192 22.04126 0.5000 24.88 
2814 -27.0354906 -145.9574787 0.104745 0.097911 168.79261 0.5000 24.97 
2256 -63.7188722 -135.4455566 0.104944 0.097959 157.89394 0.5000 24.97 
2159 -74.7226566 199.0791855 0.104113 0.098728 32.73734 0.5000 24.97 
2073 -80.6280702 168.7265142 0.104610 0.099008 38.92868 0.5000 24.96 
1868 -91.8835328 -74.2039498 0.108124 0.098369 134.60922 0.5000 24.93 
1706 -101.7206003 -84.0322708 0.107076 0.098294 135.85992 0.5000 24.94 
1410 -124.5557701 47.9823221 0.109201 0.099602 74.52516 0.5000 24.91 
1305 -127.0894292 -88.1294794 0.106222 0.098368 131.73352 0.5000 24.95 
1289 -124.6300202 -168.7565421 0.103505 0.098257 149.13562 0.5000 24.98 
915 -154.1724588 -34.5588866 0.108848 0.098833 108.23369 0.5000 24.92 
864 -157.9112528 120.7293141 0.104613 0.098997 58.65488 0.5000 24.96 
259 -191.8805384 -116.7010850 0.104038 0.098514 128.86737 0.5000 24.97 
193 -198.7549031 -44.0569453 0.106346 0.098770 108.30368 0.5000 24.95 
6260 198.0645206 -66.7307446 0.106004 0.098913 58.02400 0.5100 24.95 
6252 196.8137190 -107.8669314 0.104597 0.098604 47.16920 0.5100 24.97 
6239 195.1132256 -173.3770106 0.103191 0.098458 35.17135 0.5100 24.98 
6202 195.1057280 50.9683070 0.108152 0.099716 91.65414 0.5100 24.92 
6026 183.8998320 -35.6571515 0.107828 0.099361 66.40421 0.5100 24.93 
6002 180.2011773 -158.7153951 0.103559 0.098412 35.06770 0.5100 24.98 
5777 167.1460877 -83.2685581 0.105937 0.098791 49.06073 0.5100 24.95 
